id,data_type,data
207,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97693&attachNo=78589
208,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97737&attachNo=78646
209,image,https://www.skku.edu/_attach/image/2022/05/lIlOikISZaXNvyUkChOr.png
210,image,https://www.skku.edu/_attach/image/2022/06/ZgYeNuaRrLsoGauCUdNc.png
212,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96962&attachNo=78510
213,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97789&attachNo=78685
213,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97789&attachNo=78686
213,image,https://www.skku.edu/_attach/image/2022/06/BhstXQIcEXnRGfZHzeEL.jpg
214,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=95771&attachNo=76473
214,image,https://www.skku.edu/_attach/image/2022/02/KIJzMEEchjemecaZUAGL.png
215,image,https://www.skku.edu/_attach/image/2022/06/HMJGfIVeQaHvcarVPdDO.jpg
216,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97337&attachNo=78270
217,image,https://www.skku.edu/_attach/image/2022/06/nuGbTlOgLCzvcETvZEMa.jpg
219,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97603&attachNo=78496
219,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97603&attachNo=78497
220,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96836&attachNo=77678
223,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97733&attachNo=78642
224,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97728&attachNo=78637
225,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=95525&attachNo=76265
225,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=95525&attachNo=76266
225,image,https://www.skku.edu/_attach/image/2022/04/aCPijDtkgponDZAbrpjw.jpg
226,image,https://www.skku.edu/_attach/image/2022/05/WkzbibpaOWwSJcVZosGi.png
228,image,https://www.skku.edu/_attach/image/2022/05/YGrumtbyEnUrSmLNQmEU.jpg
229,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97718&attachNo=78624
229,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97718&attachNo=78625
230,image,https://www.skku.edu/_attach/image/2022/05/wNwHUaKDjQoRCrowvVQo.png
231,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97703&attachNo=78604
231,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97703&attachNo=78605
231,image,https://www.skku.edu/_attach/image/2022/05/ZvNKhrKAVfkwqKGaLFdC.jpg
233,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97695&attachNo=78593
234,image,https://www.skku.edu/_attach/image/2022/05/XfJEOJUNSepKamsHypOp.jpg
235,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96057&attachNo=78207
235,image,https://www.skku.edu/_attach/image/2022/03/JmEdJrqPuopkdoiBDtCs.jpg
236,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97674&attachNo=78566
237,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97673&attachNo=78565
238,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97325&attachNo=78260
240,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97650&attachNo=78542
240,image,https://www.skku.edu/_attach/image/2022/05/wnHFZnfIDbMUDTlofaVf.jpg
242,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97648&attachNo=78540
243,image,https://www.skku.edu/_attach/image/2022/05/hFmOTXBymKhtJjrSCLVN.png
246,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97626&attachNo=78525
246,image,https://www.skku.edu/_attach/image/2022/05/GWAeWvmieVnUyngFfmTH.JPG
247,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97631&attachNo=78522
247,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97631&attachNo=78523
247,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97631&attachNo=78524
250,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97627&attachNo=78518
253,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=77565&attachNo=61664
254,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96058&attachNo=76775
254,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96058&attachNo=76776
256,image,https://www.skku.edu/_attach/image/2022/05/ACfAMdQJJLNUPjeMxPnz.png
258,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97335&attachNo=78268
258,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97335&attachNo=78502
260,image,https://www.skku.edu/_attach/image/2022/05/sjuomGFWeBmFVmOOgnzQ.png
261,image,https://www.skku.edu/_attach/image/2022/05/yLnImFsNZGGjUFZnWCDD.jpg
262,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97489&attachNo=78397
263,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97575&attachNo=78476
263,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97575&attachNo=78477
263,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97575&attachNo=78478
264,image,https://www.skku.edu/_attach/image/2022/05/wjgPmRsCDODkCtHNaRvq.png
265,image,https://www.skku.edu/_attach/image/2022/05/OfYYafvHOekThtDSyZVb.JPG
266,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96662&attachNo=77472
267,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97472&attachNo=78385
267,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97472&attachNo=78386
269,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=69659&attachNo=54580
270,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97563&attachNo=78467
272,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97559&attachNo=78463
273,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97555&attachNo=78457
274,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97501&attachNo=78407
274,image,https://www.skku.edu/_attach/image/2022/05/vUHHbmUbzaKtiQwkUHOS.png
275,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97552&attachNo=78455
276,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97511&attachNo=78451
276,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97511&attachNo=78452
276,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97511&attachNo=78453
277,image,https://www.skku.edu/_attach/image/2022/05/aKVvITaqHKZBTEWJFXrW.jpg
280,image,https://www.skku.edu/_attach/image/2022/05/XoFuoofhjUWZHBuKMSSz.png
281,image,https://www.skku.edu/_attach/image/2022/05/ENERfwQLNDvKxQOvBeyh.jpg
